station_code,name,latitude,longitude,altitude,region,state,founded
A001,BRASILIA,-15.78944444,-47.92583332,1160.96,CO,DF,07/05/00
A002,GOIANIA,-16.64277777,-49.22027777,727.3,CO,GO,29/05/01
A003,MORRINHOS,-17.74499999,-49.10166666,751.09,CO,GO,25/05/01
A005,PORANGATU,-13.30944444,-49.11749999,365.0,CO,GO,04/06/01
A009,PALMAS,-10.14777777,-48.31444444,267.0,N,TO,17/12/04
A010,PARANA,-12.615,-47.87194443,284.96,N,TO,04/03/05
A011,SAO SIMAO,-18.96916666,-50.63333333,492.45,CO,GO,15/07/06
A012,LUZIANIA,-16.26055555,-47.96694443,1000.82,CO,GO,21/10/06
A013,ARAGARCAS,-15.90277777,-52.24527777,327.35,CO,GO,13/07/07
A014,GOIAS,-15.93972221,-50.14138888,512.86,CO,GO,18/07/07
A015,ITAPACI,-14.97972221,-49.53944444,551.0,CO,GO,03/02/07
A016,JATAI,-17.9236111,-51.71749999,670.08,CO,GO,23/05/07
A017,POSSE,-14.08916666,-46.36638888,830.0,CO,GO,18/04/07
A018,PEIXE,-12.01527777,-48.54444444,250.87,N,TO,01/12/06
A019,GURUPI,-11.74499999,-49.05166666,274.0,N,TO,20/12/06
A020,PEDRO AFONSO,-8.9686111,-48.17722221,189.71,N,TO,23/01/07
A021,ARAGUAINA,-7.10388888,-48.20111111,230.76,N,TO,26/01/07
A022,GOIANESIA,-15.22027777,-48.98999999,667.01,CO,GO,02/06/07
A023,CAIAPONIA,-16.96694443,-51.81749999,740.1,CO,GO,21/05/07
A024,ALTO PARAISO DE GOIAS,-14.13305554,-47.52333332,1264.7,CO,GO,04/06/07
A025,RIO VERDE,-17.78527777,-50.965,780.11,CO,GO,17/05/07
A026,MINEIROS,-17.45472222,-52.60111111,862.0,CO,GO,24/11/07
A027,PARAUNA,-16.9625,-50.42555554,678.74,CO,GO,29/03/08
A028,IPORA,-16.42305554,-51.14888888,610.41,CO,GO,24/06/13
A029,EDEIA,-17.33694444,-49.91472222,608.0,CO,GO,26/08/17
A031,SAO MIGUEL DO ARAGUAIA,-12.82055554,-50.33583333,210.0,CO,GO,29/06/17
A032,MONTE ALEGRE DE GOIAS,-13.25361111,-46.89027777,552.0,CO,GO,07/06/07
A033,PIRES DO RIO,-17.30416666,-48.28416666,757.27,CO,GO,12/10/07
A034,CATALAO,-18.15472222,-47.92749999,900.72,CO,GO,31/01/08
A035,ITUMBIARA,-18.40972222,-49.19194444,491.17,CO,GO,01/11/07
A036,CRISTALINA,-16.78499999,-47.61305555,1211.08,CO,GO,14/12/07
A037,SILVANIA,-16.67972221,-48.61805554,952.0,CO,GO,08/10/10
A038,DIANOPOLIS,-11.59444444,-46.84722221,727.87,N,TO,30/08/08
A039,FORMOSO DO ARAGUAIA,-11.88749999,-49.60833333,215.2,N,TO,27/04/08
A040,MATEIROS,-10.43444444,-45.92194443,791.0,N,TO,25/10/12
A041,MARIANOPOLIS DO TO,-9.57638888,-49.72333332,186.69,N,TO,24/11/12
A042,BRAZLANDIA,-15.59972221,-48.1311111,1143.0,CO,DF,19/07/17
A043,CAMPOS LINDOS,-8.15472222,-46.63944444,426.56,N,TO,29/10/12
A044,ARAGUATINS,-5.6436111,-48.11194444,130.71,N,TO,12/03/09
A045,AGUAS EMENDADAS,-15.59638888,-47.62583332,1030.36,CO,DF,03/10/08
A046,GAMA (PONTE ALTA),-15.93527777,-48.13749999,990.0,CO,DF,01/10/14
A047,PARANOA (COOPA-DF),-16.01222222,-47.5575,1043.0,CO,DF,07/02/17
A048,SANTA FE DO ARAGUAIA,-7.124191,-48.781267,171.0,N,TO,30/07/16
