"Number","Valid from","Latitude [°]","Longitude [°]","Altitude [m]","Slope [°]","Orientation [°]","Locationclass","Surrounding area"
1,2007-01-01 00:00:00,46.994060264640986,15.761068933137715,328.00,0.0000,,"located in the valley","untilled area"
2,2007-01-01 00:00:00,46.99410091678608,15.779386573934325,312.00,0.0000,,"located in the valley","partially tilled area"
2,2008-03-15 12:59:00,46.99388091562989,15.77902656011957,312.00,0.0000,,"located in the valley","partially tilled area"
3,2007-01-01 00:00:00,46.99766091071755,15.792254602192298,393.00,0.0000,,"hilltop","partially tilled area"
4,2007-01-01 00:00:00,46.9944770000000,15.8134580000000,398.00,5.0000,100.00,"upper slope","untilled area"
5,2007-01-01 00:00:00,46.99516269794229,15.836728854927756,326.00,5.0000,270.00,"middle slope","untilled area"
5,2017-03-10 10:52:00,46.9949100000000,15.8361370000000,326.00,5.0000,270.00,"lower slope","untilled area"
6,2007-01-01 00:00:00,46.99726317019183,15.85506626548276,398.00,3.0000,10.000,"upper slope","untilled area"
7,2007-01-01 00:00:00,46.994044050529524,15.871414278232873,308.00,0.0000,,"at the base of the slope","partially tilled area"
8,2007-01-01 00:00:00,46.9961342786110,15.88627205793006,363.00,8.0000,140.00,"middle slope","untilled area"
9,2007-01-01 00:00:00,46.98452131305042,15.75885995163817,332.00,0.0000,,"at the base of the slope","untilled area"
10,2007-01-01 00:00:00,46.98009240441638,15.77579811121787,327.00,5.0000,220.00,"at the base of the slope","partially tilled area"
11,2007-01-01 00:00:00,46.98137303392899,15.798005019954177,300.00,0.0000,,"located in the valley","partially tilled area"
12,2007-01-01 00:00:00,46.98272336910137,15.81367280297608,370.00,8.0000,90.000,"middle slope","untilled area"
13,2007-01-01 00:00:00,46.9838339428036,15.834869838358966,311.00,10.000,100.00,"lower slope","partially tilled area"
14,2007-01-01 00:00:00,46.98298479074195,15.85536717011989,355.00,12.000,40.000,"middle slope","untilled area"
15,2007-01-01 00:00:00,46.98298533859987,15.871145138695708,297.00,0.0000,,"located in the valley","untilled area"
15,2019-10-15 09:15:00,46.9826320000000,15.8705180000000,297.00,0.0000,,"located in the valley","untilled area"
16,2007-01-01 00:00:00,46.98465579056394,15.89144231389344,390.00,14.000,130.00,"upper slope","partially tilled area"
16,2015-09-08 07:10:00,46.9842600000000,15.8913380000000,384.00,14.000,110.00,"upper slope","partially tilled area"
17,2007-01-01 00:00:00,46.98105682971765,15.907110450345183,385.00,24.000,270.00,"upper slope","untilled area"
17,2018-05-09 10:10:00,46.9794710000000,15.9072930000000,378.00,9.0000,180.00,"upper slope","untilled area"
18,2007-01-01 00:00:00,46.98618695213797,15.92926707740905,352.00,12.000,280.00,"middle slope","untilled area"
19,2007-01-01 00:00:00,46.97969808048639,15.94121611686411,351.00,14.000,120.00,"upper slope","untilled area"
20,2007-01-01 00:00:00,46.98231866655123,15.966372454204837,330.00,2.0000,150.00,"at the base of the slope","untilled area"
21,2007-01-01 00:00:00,46.98230921413892,15.98342016498603,337.00,14.000,90.000,"middle slope","untilled area"
21,2018-06-15 16:00:00,46.9823092141000,15.9834201650000,337.00,14.000,90.000,"middle slope","untilled area"
22,2007-01-01 00:00:00,46.98649920060644,15.998937952361908,275.00,0.0000,,"located in the valley","untilled area"
23,2007-01-01 00:00:00,46.98249042594877,16.01962537767268,330.00,8.0000,90.000,"middle slope","partially tilled area"
24,2007-01-01 00:00:00,46.96749334835727,15.76120087558206,400.00,4.0000,340.00,"upper slope","partially tilled area"
25,2007-01-01 00:00:00,46.96756395201787,15.77678887151016,396.00,16.000,170.00,"upper slope","untilled area"
26,2007-01-01 00:00:00,46.97043421154905,15.79497613758401,314.00,6.0000,50.000,"lower slope","partially tilled area"
27,2007-01-01 00:00:00,46.972324701781794,15.814993420104342,298.00,0.0000,,"located in the valley","untilled area"
28,2007-01-01 00:00:00,46.96775581321961,15.83533106628664,296.00,2.0000,,"located in the valley","partially tilled area"
28,2020-06-30 00:00:00,46.9681700000000,15.8354300000000,297.00,2.0000,0.0000,"located in the valley","partially tilled area"
29,2007-01-01 00:00:00,46.97154610547109,15.856227949646271,383.00,10.000,180.00,"upper slope","partially tilled area"
